file_name,full_path,shape,resolution_xy,num_slices,spacing_x_mm,spacing_y_mm,spacing_z_mm,xy_spacing_mm
049.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\049.nii,"(512, 512, 39)",512x512,39,0.41210938,0.41210938,5.0,0.412109375x0.412109375
050.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\050.nii,"(512, 512, 32)",512x512,32,0.3515625,0.3515625,5.0,0.3515625x0.3515625
051.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\051.nii,"(512, 512, 46)",512x512,46,0.41210938,0.41210938,5.0,0.412109375x0.412109375
052.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\052.nii,"(512, 512, 35)",512x512,35,0.390625,0.390625,5.0,0.390625x0.390625
053.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\053.nii,"(512, 512, 35)",512x512,35,0.47265625,0.47265625,5.0,0.47265625x0.47265625
054.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\054.nii,"(512, 512, 33)",512x512,33,0.43945312,0.43945312,5.0,0.439453125x0.439453125
055.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\055.nii,"(512, 512, 56)",512x512,56,0.42382812,0.42382812,5.0,0.423828125x0.423828125
056.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\056.nii,"(512, 512, 40)",512x512,40,0.45898438,0.45898438,5.0,0.458984375x0.458984375
057.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\057.nii,"(512, 512, 43)",512x512,43,0.44140625,0.44140625,5.0,0.44140625x0.44140625
058.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\058.nii,"(512, 512, 38)",512x512,38,0.42578125,0.42578125,5.0,0.42578125x0.42578125
066.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\066.nii,"(512, 512, 34)",512x512,34,0.41015625,0.41015625,5.0,0.41015625x0.41015625
067.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\067.nii,"(512, 512, 31)",512x512,31,0.44335938,0.44335938,5.0,0.443359375x0.443359375
068.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\068.nii,"(512, 512, 32)",512x512,32,0.390625,0.390625,5.0,0.390625x0.390625
069.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\069.nii,"(512, 512, 40)",512x512,40,0.390625,0.390625,5.0,0.390625x0.390625
070.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\070.nii,"(512, 512, 39)",512x512,39,0.390625,0.390625,5.0,0.390625x0.390625
071.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\071.nii,"(512, 512, 34)",512x512,34,0.41992188,0.41992188,5.0,0.419921875x0.419921875
072.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\072.nii,"(512, 512, 33)",512x512,33,0.421875,0.421875,5.0,0.421875x0.421875
073.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\073.nii,"(512, 512, 37)",512x512,37,0.43164062,0.43164062,5.0,0.431640625x0.431640625
074.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\074.nii,"(512, 512, 39)",512x512,39,0.45507812,0.45507812,5.0,0.455078125x0.455078125
075.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\075.nii,"(512, 512, 36)",512x512,36,0.390625,0.390625,5.0,0.390625x0.390625
076.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\076.nii,"(512, 512, 51)",512x512,51,0.41796875,0.41796875,5.0,0.41796875x0.41796875
077.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\077.nii,"(512, 512, 35)",512x512,35,0.41992188,0.41992188,5.0,0.419921875x0.419921875
078.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\078.nii,"(512, 512, 36)",512x512,36,0.41210938,0.41210938,5.0,0.412109375x0.412109375
079.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\079.nii,"(512, 512, 40)",512x512,40,0.390625,0.390625,5.0,0.390625x0.390625
080.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\080.nii,"(512, 512, 33)",512x512,33,0.4609375,0.4609375,5.0,0.4609375x0.4609375
081.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\081.nii,"(512, 512, 56)",512x512,56,0.45117188,0.45117188,5.0,0.451171875x0.451171875
082.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\082.nii,"(512, 512, 34)",512x512,34,0.41015625,0.41015625,5.0,0.41015625x0.41015625
083.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\083.nii,"(512, 512, 37)",512x512,37,0.44726562,0.44726562,5.0,0.447265625x0.447265625
084.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\084.nii,"(512, 512, 52)",512x512,52,0.44726562,0.44726562,5.0,0.447265625x0.447265625
085.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\085.nii,"(512, 512, 34)",512x512,34,0.31445312,0.31445312,5.0,0.314453125x0.314453125
086.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\086.nii,"(512, 512, 37)",512x512,37,0.4296875,0.4296875,5.0,0.4296875x0.4296875
087.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\087.nii,"(512, 512, 32)",512x512,32,0.390625,0.390625,5.0,0.390625x0.390625
088.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\088.nii,"(512, 512, 34)",512x512,34,0.47851562,0.47851562,5.0,0.478515625x0.478515625
089.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\089.nii,"(512, 512, 42)",512x512,42,0.44726562,0.44726562,5.0,0.447265625x0.447265625
090.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\090.nii,"(512, 512, 33)",512x512,33,0.390625,0.390625,5.0,0.390625x0.390625
091.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\091.nii,"(512, 512, 37)",512x512,37,0.46875,0.46875,5.0,0.46875x0.46875
092.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\092.nii,"(512, 512, 37)",512x512,37,0.44726562,0.44726562,5.0,0.447265625x0.447265625
093.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\093.nii,"(512, 512, 38)",512x512,38,0.41015625,0.41015625,5.0,0.41015625x0.41015625
094.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\094.nii,"(512, 512, 47)",512x512,47,0.44335938,0.44335938,5.0,0.443359375x0.443359375
095.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\095.nii,"(512, 512, 37)",512x512,37,0.390625,0.390625,5.0,0.390625x0.390625
096.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\096.nii,"(512, 512, 37)",512x512,37,0.40820312,0.40820312,5.0,0.408203125x0.408203125
097.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\097.nii,"(512, 512, 33)",512x512,33,0.43359375,0.43359375,5.0,0.43359375x0.43359375
098.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\098.nii,"(512, 512, 48)",512x512,48,0.41796875,0.41796875,5.0,0.41796875x0.41796875
099.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\099.nii,"(512, 512, 33)",512x512,33,0.4609375,0.4609375,5.0,0.4609375x0.4609375
100.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\100.nii,"(512, 512, 34)",512x512,34,0.42382812,0.42382812,5.0,0.423828125x0.423828125
101.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\101.nii,"(512, 512, 35)",512x512,35,0.390625,0.390625,5.0,0.390625x0.390625
102.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\102.nii,"(512, 512, 37)",512x512,37,0.40820312,0.40820312,5.0,0.408203125x0.408203125
103.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\103.nii,"(512, 512, 40)",512x512,40,0.43945312,0.43945312,5.0,0.439453125x0.439453125
104.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\104.nii,"(512, 512, 31)",512x512,31,0.45507812,0.45507812,5.0,0.455078125x0.455078125
105.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\105.nii,"(512, 512, 34)",512x512,34,0.44726562,0.44726562,5.0,0.447265625x0.447265625
106.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\106.nii,"(512, 512, 36)",512x512,36,0.421875,0.421875,5.0,0.421875x0.421875
107.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\107.nii,"(512, 512, 37)",512x512,37,0.41015625,0.41015625,5.0,0.41015625x0.41015625
108.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\108.nii,"(512, 512, 58)",512x512,58,0.44140625,0.44140625,5.0,0.44140625x0.44140625
109.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\109.nii,"(512, 512, 33)",512x512,33,0.41601562,0.41601562,5.0,0.416015625x0.416015625
110.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\110.nii,"(512, 512, 33)",512x512,33,0.453125,0.453125,5.0,0.453125x0.453125
111.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\111.nii,"(512, 512, 39)",512x512,39,0.4375,0.4375,5.0,0.4375x0.4375
112.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\112.nii,"(512, 512, 38)",512x512,38,0.37890625,0.37890625,5.0,0.37890625x0.37890625
113.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\113.nii,"(512, 512, 33)",512x512,33,0.41796875,0.41796875,5.0,0.41796875x0.41796875
114.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\114.nii,"(512, 512, 32)",512x512,32,0.42578125,0.42578125,5.0,0.42578125x0.42578125
115.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\115.nii,"(512, 512, 38)",512x512,38,0.42578125,0.42578125,5.0,0.42578125x0.42578125
116.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\116.nii,"(512, 512, 36)",512x512,36,0.45507812,0.45507812,5.0,0.455078125x0.455078125
117.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\117.nii,"(512, 512, 33)",512x512,33,0.43945312,0.43945312,5.0,0.439453125x0.439453125
118.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\118.nii,"(512, 512, 35)",512x512,35,0.41796875,0.41796875,5.0,0.41796875x0.41796875
119.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\119.nii,"(512, 512, 36)",512x512,36,0.48828125,0.48828125,5.0,0.48828125x0.48828125
120.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\120.nii,"(512, 512, 35)",512x512,35,0.3984375,0.3984375,5.0,0.3984375x0.3984375
121.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\121.nii,"(512, 512, 35)",512x512,35,0.41015625,0.41015625,5.0,0.41015625x0.41015625
122.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\122.nii,"(512, 512, 32)",512x512,32,0.39453125,0.39453125,5.0,0.39453125x0.39453125
123.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\123.nii,"(512, 512, 43)",512x512,43,0.42773438,0.42773438,5.0,0.427734375x0.427734375
124.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\124.nii,"(512, 512, 37)",512x512,37,0.42773438,0.42773438,5.0,0.427734375x0.427734375
125.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\125.nii,"(512, 512, 43)",512x512,43,0.44921875,0.44921875,5.0,0.44921875x0.44921875
126.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\126.nii,"(512, 512, 34)",512x512,34,0.390625,0.390625,5.0,0.390625x0.390625
127.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\127.nii,"(512, 512, 36)",512x512,36,0.390625,0.390625,5.0,0.390625x0.390625
128.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\128.nii,"(512, 512, 35)",512x512,35,0.41796875,0.41796875,5.0,0.41796875x0.41796875
129.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\129.nii,"(512, 512, 35)",512x512,35,0.37109375,0.37109375,5.0,0.37109375x0.37109375
130.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\130.nii,"(512, 512, 36)",512x512,36,0.44140625,0.44140625,5.0,0.44140625x0.44140625
